ஊஷ்L	N_NN	B-NP	URL,unk,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B3	QT_QTC	B-NP	B3,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81	QT_QTC	B-NP	81,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஞ்	RD_PUNC	I-NP	F,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ9	QT_QTC	B-NP	A9,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	I-NP	8D,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B0	QT_QTC	B-NP	B0,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஐ	N_NN	B-NP	BE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81	QT_QTC	B-NP	81,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B2	QT_QTC	B-NP	B2,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	I-NP	8D,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
87	QT_QTC	B-NP	87,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ9	QT_QTC	B-NP	A9,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B1	QT_QTC	B-NP	B1,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81-	QT_QTC	B-NP	81-,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஆ	RP_INJ	I-NP	A,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ8	QT_QTC	B-NP	A8,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ4	QT_QTC	B-NP	A4,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஆ	RP_INJ	B-NP	AA,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஆ	RP_INJ	B-NP	AA,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81-2675076	V_VM_VF	B-VGF	81-2675076,num,,,,,,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

ஹ்ட்ம்ல்	N_NN	B-NP	html,N,,,,,	{RP}
விவசாயிகளுடன்	N_NN	I-NP	vivacAyi,N,utanY-SOC,pl,,,	o
ராகுல்	N_NNP	B-NP	rAkul,N,,,,m,	o
இன்று	N_NN	B-NP	inYrYu,N,,,,,	o
சந்திப்பு	N_NN	I-NP	canwippu,N,,,,,	o
தில்லியில்	N_NNP	B-NP	willi,N,il-LOC,,,,	o
போராட்டம்	N_NN	B-NP	porAttam,N,,,,,	o
நடத்தி	V_VM_VNF_VBN	B-VGNF	natawwu,V,,,,,VBP	o
வரும்	V_VM_VNF_RP	I-VGNF	vA,V,FUTURE,,,,RP	o
விவசாயிகளை	N_NN	B-NP	vivacAyi,N,E-ACC,pl,,,	{/RP}
அகில	N_NN	B-NP	akila,ADJ,,,,,	o
இந்திய	N_NNP	B-NP	inwiya,ADJ,,,,,	o
காங்கிரஸ்	N_NNP	I-NP	kAfkiras,N,,,,,	o
கமிட்டி	N_NNP	I-NP	kamitti,N,,,,,	o
துணைத்	N_NN	I-NP	wuNE,N,,,,,	o
தலைவர்	N_NN	I-NP	walEvar,N,,,,mf,	o
ராகுல்காந்தி	N_NNP	B-NP	rAkulkAnwi,N,,,,,	o
வியாழக்கிழமை	N_NNP	I-NP	viyAlYYakkilYYamE,N,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
மார்ச்	N_NNP	I-NP	mArc,N,,,,,	o
30	QT_QTC	I-NP	30,num,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
சந்திக்க	V_VM_VNF_INF	B-VGNF	canwi,V,,,,,INF	o
உள்ளதாக	RB	B-RBP	ulY,V,PRESENT,sg,3,n,RP-PRP	o
காங்கிரஸ்	N_NNP	B-NP	kAfkiras,N,,,,,	o
கட்சியின்	N_NN	I-NP	katci,N,inY-GEN,,,,	o
தமிழகத்	N_NNP	B-NP	wamilYYaka,ADJ,,,,,	o
தலைவர்	N_NN	I-NP	walEvar,N,,,,mf,	o
சு.திருநாவுக்கரசர்	N_NNP	B-NP	cu.wirunAvukkaracar,unk,,,,,,	o
கூறினார்	V_VM_VF	B-VGF	kUrYu,V,PAST,sg,3,c,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

சென்னை	N_NNP	B-NP	ceVnYnYE,N,,,,,	{RP}
சத்தியமூர்த்திபவனில்	N_NNP	I-NP	cawwiyamUrwwipavanY,N,il-LOC,,,,	o
புதன்கிழமை	N_NNP	B-NP	puwanYkilYYamE,N,,,,,	o
அவர்	PR_PRP	B-NP	avar,PN,,,,mf,	o
அளித்த	V_VM_VNF_RP	B-VGNF	alYi,V,PAST,,,,RP	o
பேட்டி	N_NN	B-NP	petti,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	{/RP}
தில்லியில்	N_NNP	B-NP	willi,N,il-LOC,,,,	{NF}
போராட்டம்	N_NN	B-NP	porAttam,N,,,,,	o
நடத்திவரும்	V_VM_VNF_RP	B-VGNF	natawwivA,V,FUTURE,,,,RP	o
விவசாயிகளை	N_NN	B-NP	vivacAyi,N,E-ACC,pl,,,	o
ராகுல்காந்தி	N_NNP	B-NP	rAkulkAnwi,N,,,,,	o
வியாழக்கிழமை	N_NNP	B-NP	viyAlYYakkilYYamE,N,,,,,	o
நேரில்	RB	B-VGNF	ner,N,il-LOC,,,,	o
சந்தித்து	V_VM_VNF_VBN	I-VGNF	canwi,V,,,,,VBP	{/NF}
,	RD_PUNC	I-VGNF	&comma;,punc,,,,,	{MCL}
அவர்களின்	PR_PRP	B-NP	avar,PN,inY-GEN,pl,,mf,	o
கோரிக்கைகளைக்	N_NN	I-NP	korikkE,N,E-ACC,pl,,,	o
கேட்டறிய	V_VM_VNF_INF	B-VGNF	kettarYi,V,,,,,INF	o
உள்ளார்	V_VM_VF	I-VGNF	ulY,V,PRESENT,sg,3,c,	{/MCL}
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	o

அவருடன்	PR_PRP	B-NP	avar,PN,utanY-SOC,,,mf,	{MCL}
நானும்	PR_PRP	B-NP	nAnY,PN,,,,,	o
செல்கிறேன்	V_VM_VF	B-VGF	ceVl,V,PRESENT,sg,1,c,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

விவசாயிகளுக்கு	N_NN	B-NP	vivacAyi,N,ukku-DAT,pl,,,	{MCL}
நிவாரண	N_NN	B-NP	nivAraNam,N,a-ADJ,,,,	o
நிதி	N_NN	I-NP	niwi,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
காங்கிரஸ்	N_NNP	B-NP	kAfkiras,N,,,,,	o
அறக்கட்டளை	N_NN	I-NP	arYakkattalYE,N,,,,,	o
சார்பில்	N_NN	I-NP	cArpu,N,il-LOC,,,,	o
பல்வேறு	JJ	B-NP	palverYu,ADJ,,,,,	o
நல	N_NN	I-NP	nalam,N,a-ADJ,,,,	o
உதவிகளை	N_NN	I-NP	uwavi,N,E-ACC,pl,,,	o
வழங்கி	V_VM_VNF_VBN	B-VGF	valYYafku,V,,,,,VBP	o
வருகிறோம்	V_VM_VF	I-VGF	vA,V,PRESENT,pl,1,f,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

மாணவர்களின்	N_NN	B-NP	mANavar,N,inY-GEN,pl,,,	{RP}
கல்வி	N_NN	I-NP	kalvi,N,,,,,	o
உதவிக்காக	RB	B-RBP	uwavi,N,kku-DAT,,,,	o
ரூ.1.5	QT_QTC	B-NP	rU.1.5,num,,,,,,	o
கோடி	QT_QTC	I-NP	koti,N,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
பாதிக்கப்பட்ட	V_VM_VNF_RP	B-VGNF	pAwikkappatu,V,PAST,,,,RP	o
விவசாயிகளின்	N_NN	B-NP	vivacAyi,N,inY-GEN,pl,,,	{MCL}
குடும்பத்தினர்	N_NN	I-NP	kutumpawwinYar,N,,pl,,,	{/RP}
750	QT_QTC	B-NP	750,num,,,,,,	o
பேருக்கு	N_NN	I-NP	per,N,ukku-DAT,,,,	o
மொத்தம்	N_NN	B-NP	moVwwam,N,,,,,	o
ரூ.70	QT_QTC	I-NP	rU.70,num,,,,,,	o
லட்சம்	QT_QTC	I-NP	latcam,N,,,,,	o
வரையும்	N_NN	I-NP	varE,V,FUTURE,sg,3,n,	o
நிவாரண	N_NN	B-NP	nivAraNam,N,a-ADJ,,,,	o
நிதி	N_NN	I-NP	niwi,N,,,,,	o
வழங்க	V_VM_VNF_INF	B-VGNF	valYYafku,V,,,,,INF	o
உள்ளோம்	V_VM_VF	I-VGNF	ulY,V,PRESENT,pl,1,f,	{/MCL}
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	o

காங்கிரஸுக்கு	N_NN	B-NP	kAfkiras,N,ukku-DAT,,,,	{COM}
என்று	CC_CCS	B-CCP	eVnYrYu,UT,,,,,	{/COM}
பலரால்	N_NN	B-NP	palar,N,Al-INS,,,,	{RP}
வழங்கப்பட்ட	V_VM_VNF_RP	B-VGNF	valYYafku,V,PAST,,,,RP	o
சொத்துகள்	N_NN	B-NP	coVwwu,N,,pl,,,	{/RP}
தற்போது	RB	B-RBP	warYpowu,ADV,,,,,	o
தனியார்	N_NN	B-NP	wanYiyAr,N,,,,,	o
வசம்	N_NN	I-NP	vacam,N,,,,,	o
உள்ளன	V_VM_VF	B-VGF	ulY,V,PRESENT,pl,3,c,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

அதனை	PR_PRP	B-NP	awanY,PN,E-ACC,,,,	{RP}
மீட்பதற்கு	V_VM_VNF_RP_PRP	B-VGNF	mIlY,V,FUTURE,,,,RP-PRP	{/RP}
மூத்த	JJ	B-NP	mUwwa,ADJ,,,,,	{MCL}
வழக்குரைஞர்	N_NN	I-NP	valYYakkurEFar,N,,pl,,,	o
காந்தி	N_NNP	B-NP	kAnwi,N,,,,,	o
தலைமையில்	N_NN	I-NP	walEmE,N,il-LOC,,,,	o
குழு	N_NN	B-NP	kulYYu,N,,pl,,,	o
அமைக்கப்பட்டுள்ளது	V_VM_VF	B-VGF	amE,V,PRESENT,sg,3,n,RP-PRP	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

அந்தக்	DM_DMR	B-NP	anwa,ADJ,,,,,	{MCL}
குழுவினர்	N_NN	I-NP	kulYYuvinYar,N,,pl,,,	o
காங்கிரஸின்	N_NN	B-NP	kAfkiras,N,inY-GEN,,,,	o
சொத்துகளை	N_NN	I-NP	coVwwu,N,E-ACC,pl,,,	o
மீட்பர்	N_NN	B-NP	mIlY,V,FUTURE,pl,3,c,	o
என்றார்	V_VM_VF	B-VGF	eVnY,V,PAST,sg,3,c,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

விவசாயிகள்	N_NN	B-NP	vivacAyi,N,,pl,,,	{RP}
போராட்டத்துக்கு	N_NN	I-NP	porAttam,N,ukku-DAT,,,,	o
ஆதரவு	N_NN	B-NP	Awaravu,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
முன்னதாக	RB	B-RBP	munYnYawu,N,Aka-ADV,,,,	o
சு.திருநாவுக்கரசர்	N_NN	B-NP	cu.wirunAvukkaracar,unk,,,,,,	o
வெளியிட்ட	V_VM_VNF_RP	B-VGNF	veVlYiyitu,V,PAST,,,,RP	o
அறிக்கையில்	N_NN	B-NP	arYikkE,N,il-LOC,,,,	{MCL}
கூறியிருப்பது	V_VM_VNF_RP_PRP	B-VGNF	kUrYu,V,FUTURE,sg,3,n,RP-PRP	{/RP}
:	RD_PUNC	I-VGNF	:,punc,,,,,,	o
தமிழகம்	N_NNP	B-NP	wamilYYakam,N,,,,,	o
வறட்சியின்	N_NN	I-NP	varYatci,N,inY-GEN,,,,	o
கோரப்பிடியில்	N_NN	B-NP	korappitiyil,unk,,,,,,	o
சிக்கித்	V_VM_VNF_VBN	B-VGF	cikku,V,,,,,VBP	o
தவித்து	V_VM_VNF_VBN	I-VGF	wavi,V,,,,,VBP	o
வருகிறது	V_VM_VF	I-VGF	vA,V,PRESENT,sg,3,n,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

காவிரி	N_NNP	B-NP	kAviri,N,,,,f,	{RP}
நடுவர்மன்றத்	V_VM_VNF_INF	B-VGNF	natuvarmanYrYam,N,a-ADJ,,,,	o
தீர்ப்பின்படி	V_VM_VNF_RP_PSP	I-VGNF	wIrppu,N,inY-GEN,,,,	{/RP}
தமிழகத்துக்கு	N_NNP	B-NP	wamilYYakam,N,ukku-DAT,,,,	{MCL}
179	QT_QTC	B-NP	179,num,,,,,,	o
டி.எம்.சி.	N_NN	I-NP	ti.eVm.ci,N,,,,,	o
நீர்	PR_PRP	B-NP	nIr,PN,,,,,	o
வழங்கப்பட்டிருக்க	V_VM_VNF_INF	B-VGNF	valYYafkappattirukka,unk,,,,,,	o
வேண்டும்	V_VM_VF	I-VGNF	veNtum,V,,,,,	{/MCL}
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	o

ஆனால்	CC_CCD	B-CCP	AnYAl,CONJ,,,,,	{NF}
கர்நாடக	N_NNP	B-NP	karnAtaka,ADJ,,,,,	o
அரசு	N_NN	I-NP	aracu,N,,,,,	o
வழங்கியதோ	V_VM_VNF_RP	B-VGNF	valYYafku,V,PAST,,,,	o
வெறும்	JJ	B-NP	veVrYum,ADJ,,,,,	o
66.60	QT_QTC	I-NP	66.60,num,,,,,,	o
டி.எம்.சி.தான்	N_NN	I-NP	ti.eVm.ci.wAnY,unk,,,,,,	o
இதனால்	CC_CCS	B-CCP	iwanYAl,CONJ,,,,,	o
காவிரி	N_NNP	B-NP	kAviri,N,,,,f,	o
டெல்டா	N_NNP	I-NP	teVltA,N,,,,,	o
பகுதியில்	N_NN	I-NP	pakuwi,N,il-LOC,,,,	o
தண்ணீரின்றி	N_NN	B-NP	waNNIr,N,,,,,	o
பயிர்கள்	N_NN	I-NP	payir,N,,pl,,,	o
கருகி	V_VM_VNF_VBN	B-VGNF	karuku,V,,,,,VBP	{/NF}
200-க்கும்	QT_QTC	B-NP	200,num,kku-dat,sg,,,	{RP}
மேற்பட்ட	JJ	B-NP	merYpatta,ADJ,,,,,	o
விவசாயிகள்	N_NN	I-NP	vivacAyi,N,,pl,,,	o
தற்கொலை	N_NN	B-NP	warYkoVlE,N,,,,,	o
செய்துக்	V_VM_VNF_VBN	B-VGNF	ceVy,V,,,,,VBP	o
கொள்ள	V_VM_VNF_INF	I-VGNF	koVlY,V,,,,,INF	o
வேண்டிய	V_VM_VNF_RP	I-VGNF	veNtu,V,PAST,,,,RP	o
அவலம்	PR_PRP	B-NP	avalam,N,,,,,	{/RP}
ஏற்பட்டுள்ளது	V_VM_VF	B-VGF	erYpatu,V,PRESENT,sg,3,n,RP-PRP	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

தமிழகத்தில்	N_NNP	B-NP	wamilYYakam,N,il-LOC,,,,	{INF}
ஏற்பட்டுள்ள	V_VM_VNF_RP	B-VGNF	erYpatu,V,PRESENT,,,,RP	o
வறட்சியை	N_NN	B-NP	varYatci,N,E-ACC,,,,	o
எதிர்கொள்ள	V_VM_VNF_INF	B-VGNF	eVwirkoVlY,V,,,,,INF	{/INF}
அதிமுக	N_NNP	B-NP	awimuka,N,,,,,	{MCL}
அரசு	N_NN	I-NP	aracu,N,,,,,	o
நரேந்திர	N_NNP	B-NP	narenwira,N,,,,,	o
மோடி	N_NNP	I-NP	moti,N,,,,,	o
அரசிடம்	N_NN	B-NP	aracu,N,itam-LOC,,,,	o
ரூ.39	N_NN	B-NP	rU.39,num,,,,,,	o
ஆயிரம்	QT_QTC	B-NP	Ayiram,N,,,,,	o
கோடி	QT_QTC	I-NP	koti,N,,,,,	o
வறட்சி	N_NN	B-NP	varYatci,N,,,,,	o
நிவாரணம்	N_NN	B-NP	nivAraNam,N,,,,,	o
கேட்டது	V_VM_VF	B-VGF	kelY,V,PAST,sg,3,n,RP-PRP	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

ஆனால்	CC_CCD	B-CCP	AnYAl,CONJ,,,,,	{MCL}
,	RD_PUNC	I-CCP	&comma;,punc,,,,,	o
மத்திய	JJ	B-NP	mawwiya,ADJ,,,,,	o
பாஜக	N_NNP	I-NP	pAjaka,N,,,,,	o
அரசோ	N_NN	I-NP	aracu,N,,,,,	o
ரூ.1,748	N_NN	I-NP	rU.1,748,num,,,,,,	o
கோடிதான்	N_NN	B-NP	koti,N,wAnY-PSP,,,,	o
